name;initials;flag_url;team_continent;team_fifa_rank;team_goalkeeper_score;team_mean_defense_score;team_mean_midfield_score;team_mean_offense_score;team_total_fifa_points
Argentina;ARG;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/ARG?tx=c_fill;5;2;81;81;82;86;83
Australia;AUS;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/AUS?tx=c_fill;4;27;70;70;71;75;72
Belgium;BEL;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/BEL?tx=c_fill;2;4;79;79;80;86;82
Brazil;BRA;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/BRA?tx=c_fill;5;1;80;80;80;81;80
Cameroon;CMR;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/CMR?tx=c_fill;0;33;72;72;75;75;74
Canada;CAN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/CAN?tx=c_fill;3;53;70;70;74;74;73
Costa Rica;CRC;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/CRC?tx=c_fill;5;32;74;74;73;73;73
Croatia;CRO;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/CRO?tx=c_fill;2;7;78;78;83;79;80
Denmark;DEN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/DEN?tx=c_fill;2;18;78;78;82;76;79
Ecuador;ECU;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/ECU?tx=c_fill;5;41;75;75;75;75;75
England;ENG;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/ENG?tx=c_fill;2;5;83;83;83;85;84
France;FRA;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/FRA?tx=c_fill;2;3;82;82;83;85;83
Germany;GER;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/GER?tx=c_fill;2;14;82;82;85;82;83
Ghana;GHA;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/GHA?tx=c_fill;0;58;75;75;76;81;77
Iran;IRN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/IRN?tx=c_fill;1;24;72;72;73;81;75
Japan;JPN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/JPN?tx=c_fill;1;20;76;76;77;75;76
Korea Republic;KOR;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/KOR?tx=c_fill;1;25;75;75;74;79;79
Mexico;MEX;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/MEX?tx=c_fill;5;15;76;76;77;79;77
Morocco;MAR;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/MAR?tx=c_fill;0;11;77;77;73;78;76
Netherlands;NED;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/NED?tx=c_fill;2;6;82;82;81;83;82
Poland;POL;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/POL?tx=c_fill;2;22;74;74;76;80;77
Portugal;POR;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/POR?tx=c_fill;2;9;84;84;82;85;84
Qatar;QAT;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/QAT?tx=c_fill;1;60;68;68;70;71;70
Saudi Arabia;KSA;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/KSA?tx=c_fill;1;49;71;71;72;71;71
Senegal;SEN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/SEN?tx=c_fill;0;19;77;77;76;79;77
Serbia;SER;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/SRB?tx=c_fill;2;29;75;75;80;80;78
Spain;ESP;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/ESP?tx=c_fill;2;10;85;85;84;82;84
Switzerland;SUI;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/SUI?tx=c_fill;2;12;78;78;78;77;78
Tunisia;TUN;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/TUN?tx=c_fill;0;30;71;71;75;72;73
United States;USA;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/USA?tx=c_fill;3;13;75;75;76;76;76
Uruguay;URU;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/URU?tx=c_fill;5;16;79;79;82;81;81
Wales;WAL;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/WAL?tx=c_fill;2;28;73;73;74;76;74
